6)	ECE 20200
MWF	07:30-08:20
TR	13:30-14:45

5)	ECE 27000 Lecture
MWF	16:30-17:20

4)	ECE 27000 Lab
T	07:30-10:20
T	11:30-14:20
T	14:30-17:20
W	07:30-10:20
W	10:30-13:20
W	13:30-16:20
R	07:30-10:20
R	11:30-14:20
F	10:30-13:20
F	13:30-16:20

3)	ECE 36800
TR	15:00-16:15

2)	MA 26500
MWF	08:30-09:20
MWF	09:30-10:20
MWF	10:30-11:20
MWF	11:30-12:20
MWF	12:30-13:20
MWF	13:30-14:20
MWF	14:30-15:20
MWF	15:30-16:20
MWF	16:30-17:20
TR	07:30-08:45
TR	09:00-10:15
TR	10:30-11:45
TR	12:00-13:15
TR	13:30-14:45

1)	MA 26600
MWF	08:30-09:20
MWF	09:30-10:20
MWF	10:30-11:20
MWF	11:30-12:20
MWF	12:30-13:20
MWF	13:30-14:20
MWF	14:30-15:20
MWF	15:30-16:20
MWF	16:30-17:20
TR	10:30-11:45
TR	12:00-13:15
TR	13:30-14:45
TR	15:00-16:15
TR	16:30-17:45
